Variable Name        Variable Description
surp70               Fiscal Surplus/GDP: Decade average of ratio of central government surplus (+) to                                                                                                                        
surp80               Fiscal Surplus/GDP: Decade average of ratio of central government surplus (+) to                                                                                                                        
tvPC60               Televisions per thousand population                                                                                                                                                                     
tvPC70               Televisions per thousand population                                                                                                                                                                     
tvPC80               Televisions per thousand population                                                                                                                                                                     
war60                Dummy for war on national territory during the decade                                                                                                                                                   
war70                Dummy for war on national territory during the decade                                                                                                                                                   
war80                Dummy for war on national territory during the decade                                                                                                                                                   
warciv60             Dummy for civil war                                                                                                                                                                                     
warciv70             Dummy for civil war                                                                                                                                                                                     
warciv80             Dummy for civil war                                                                                                                                                                                     
wdiinfmt60           Infant Mortality Rate:Number of deaths of infants under one year old per 1000 li                                                                                                                        
wdiinfmt70           Infant Mortality Rate:Number of deaths of infants under one year old per 1000 li                                                                                                                        
wdiinfmt80           Infant Mortality Rate:Number of deaths of infants under one year old per 1000 li                                                                                                                        
wdilabag60           Labor force in farming/forestry/hunting/fishing as a percent of total labor forc                                                                                                                        
wdilabag70           Labor force in farming/forestry/hunting/fishing as a percent of total labor forc                                                                                                                        
wdilabag80           Labor force in farming/forestry/hunting/fishing as a percent of total labor forc                                                                                                                        
wditfert60           Fertility: The average number of children born alive to a woman in her lifetime.                                                                                                                        
wditfert70           Fertility: The average number of children born alive to a woman in her lifetime.                                                                                                                        
wditfert80           Fertility: The average number of children born alive to a woman in her lifetime.                                                                                                                        
